,Unnamed: 0,Source File,Animal Name,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Skin Type,Top Speed,Lifespan,Weight,Length,Age of Sexual Maturity,Age of Weaning,Temperament,Training,title,genus,species,name
0,0,httpsa-z-animalscomanimals.html,All Animals A-Z List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,httpsa-z-animalscomanimalsaardvark.html,Aardvark,Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,"Termites, Ants",Cub,Solitary,Can move up to 2ft of soil in just 15 seconds!,Unknown,Habitat loss,"Long, sticky tongue and rabbit-like ears","Antbear, Earth Pig",7 months,Sandy and clay soil,Omnivore,1,Nocturnal,Aardvark,18.0,Sub-Saharan Africa,Can move 2ft of soil in just 15 seconds!,Mammal,Hair,25 mph,23 years,60kg - 80kg (130lbs - 180lbs),1.05m - 2.20m (3.4ft - 7.3ft),2 years,3 months,,,Aardvark,orycteropus,afer,
2,2,httpsa-z-animalscomanimalsaardwolf.html,Aardwolf,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Proteles,Proteles cristata,Termites and other insects,Cubs or pups,Solitary,The aardwolf has five toes on its front paws,,Habitat loss,The thick mane that runs along the back,"Maanhaar-jackal, termite-eating hyena, and civet hyena",90 days,Savannas and grasslands,Carnivore,2-5,,aardwolf,1.0,Sub-Saharan Africa,,,Hair,,15 years,17-31lbs,33-41in,1.5-2 years,3-4 months,,,,,,
3,3,httpsa-z-animalscomanimalsabyssinian guinea pig.html,Abyssinian Guinea Pig,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,Cavia porcellus,,Pups,Herd,They are one of the oldest breeds of guinea pig,,,Rosette patterned fur,,58-72 days,"Grass lands, mountains, hills",Omnivore,5-15,Herd,,,South America,,Herd,Fur,4 mph,5-15,,,3 months,21 days,Social,,,,,
4,4,httpsa-z-animalscomanimalsabyssinian.html,Abyssinian,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,"The breed may be a mix of Burmese, Siamese, and Russian Blue.",,,,aka Aby or Abys for short,,,Omnivore,6,,Abyssinian cat,,,One of the oldest cat breeds in the world!,Cat,Hair,,13-15 years,8-12 lbs,,,,Intelligent and curious,Easy,,,,
5,5,httpsa-z-animalscomanimalsacadian flycatcher.html,Acadian Flycatcher,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax virescens,"wasps, bees, caterpillars, ants, flies, beetles, moths, spiders, and millipedes",Chicks,Solitary/Pairs,Their nests are sloppily held together and have an abandoned appearance,5.2 million,Habitat loss and degradation,Olive green coloring with white wingbars,,,Wet deciduous forests,Insectivore,,Diurnal,Acadian flycatcher,,"<a href=""https://a-z-animals.com/animals/location/north-america/"">North America</a>, South America",,,Feathers,,3 years,0.4 to 0.5 ounces,5.5 to 5.9 inches,One year,,,,,,,
6,6,httpsa-z-animalscomanimalsachrioptera manga.html,Achrioptera Manga,Animalia,Arthropoda,Insecta,Phasmatodea,Phasmatidae,Achrioptera,Achrioptera manga,,,Solitary,"Unlike other species of stick insects, the Achrioptera manga's mating season is year-round and mating occurs regularly.",,,Bright blue coloring of males,,4-5 months,,Herbivore,40-50 eggs,,,,,,,Exoskeleton,,Several months,,5.2-9.1 in,4-6 months,,,,,,,
7,7,httpsa-z-animalscomanimalsackie monitor.html,Ackie Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanthus acanthurus,"arthropods such as cockroaches, beetles, crickets, caterpillars, and small rodents, small lizards",hatchling,"Solitary</li><li class=""list-item"">Mainly solitary",The ackie monitor has a spiny tail which it uses as in self-defense.,,"Raptors, snakes, bigger monitor lizards, metabolic bone disease",,"spiny-tailed monitor, ridge-tailed monitor, ackie dwarf monitor",,"Arid scrublands, woodlands",Carnivore,6 to 18 eggs,"Solitary</li><li class=""list-item"">Diurnal/Nocturnal",Ackie monitor,2.0,,,,Scales,,15 to 20 years,,2 to 2.5 feet at adulthood,,,Docile,,,,,
8,8,httpsa-z-animalscomanimalsaddax.html,Addax,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Addax nasomaculatus,,Calf,Social,"The hooves of the addax are splayed and have flat, springy soles, one of the adaptations that help it walk over sand.",Less than 500 in the wild,"Overhunting, poaching, habitat destruction, climate change, human activity.","Its long, beautiful, spiral horns"," White antelope, screwhorn antelope, bakr al wahsh",257 to 264 days,Desert and semidesert habitats,Herbivore,1-2,,Addax,1.0,"Areas of Niger, Chad, Mali, Mauritania, Libya, Sudan, reintroduced into Tunisia and Morocco",,herd,Hair,,19-25 years,,47 to 51 inches with a 9.8 to 13.8 inch tail,"Two years for males, two to three years for females",5 to 9 months,,,Addax,addax,nasomaculatus,addax
9,9,httpsa-z-animalscomanimalsadelie penguin.html,Adelie Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,"Krill, Fish, Squid",Chicks,Colony,Eats up to 2kg of food per day!,5 million,Rapid ice melt,Small white circle around each eye,,,Antarctic land and ocean,Carnivore,,Diurnal,Adelie Penguin,1.0,Coastal Antarctica,Eats up to 2kg of food per day!,Bird,Feathers,45 mph,10 - 20 years,3kg - 6kg (7lbs - 13lbs),,2 - 3 years,,,,,,,
10,10,httpsa-z-animalscomanimalsadmiral butterfly.html,Admiral Butterfly,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,,,,Larvae,Solitary/Group,"Admiral butterflies are named for their wing patterns, which resemble military insignia!",,Habitat loss,Flashy wing colors and patterns,,,"Forests, fields, jungles, mountain ranges, orchards, near streams and marshes, urban areas",Herbivore,,Diurnal,,,,Stunningly beautiful wings,"Kaleidoscope, flutter, or swarm",Exoskeleton,,,,,,,,,,,,
11,11,httpsa-z-animalscomanimalsaesculapian snake.html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,httpsa-z-animalscomanimalsaffenpinscher.html,Affenpinscher,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,The German name Affenpinscher translates to monkey dog. This pup’s face is similar to a monkey’s!,,,,,,,Omnivore,3,,Affenpinscher,,,First bred in 17th century Germany!,Dog,Hair,,,,,,,Alert and inquisitive,Medium,Affenpinscher,,,affenpinscher
13,13,httpsa-z-animalscomanimalsafghan hound.html,Afghan Hound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,"These dogs were originally bred for hunting purposes. They are one of the oldest dog breeds in the world, though they are now found in several rescue shelters around the world. They are known to be as fast as racehorses. The fur that covers these hounds keeps them very warm, though they can be shaved as well. Afghan Hounds have scent glands that usually produce a musky but not malodorous scent.",,,,,,,Omnivore,7,,Afghan Hound,,,First used as a shepherd and hunter!,Dog,Hair,,,,,,,Alert yet reserved and lively,Moderately Easy,Afghan Hound,,,afghan hound
14,14,httpsa-z-animalscomanimalsafrican bullfrog.html,African Bullfrog,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,Pyxicephalus adspersus,,"Tadpole, polliwog, larva",Solitary,The African bullfrog is one of only three species of frog that have “teeth.”,Unknown,"Habitat destruction, hunting, pet trade",Size,"Pixie frog, Giant African Bullfrog",,"Deserts, high veld, floodplains, grassland, savanna, farms, marshes, ponds, lakes",Carnivore,"As many as 4,000 eggs laid at a time",,African bullfrog,1.0,Sub-Saharan Africa,,,Permeable,,20-40 years,0.9-18 kg (2-4 lbs),11.43-25.4 cm (4.5-10 in),1.5-2 years,,,,,,,
15,15,httpsa-z-animalscomanimalsafrican bush elephant.html,African Bush Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana africana,"Grass, Fruit, Roots",Calf,Herd,Can drink up to 50 gallons a day!,"300,000",Poaching and habitat loss,"Large, rounded ears",African Elephant,20 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Bush Elephant,1.0,central and southern Africa,Can drink up to 50 gallons a day,Mammal,Leather,25 mph,60 - 70 years,"3,600kg - 5,400kg (7,900lbs - 12,000lbs)",,11 - 20 years,6 - 18 months,,,,,,
16,16,httpsa-z-animalscomanimalsafrican civet.html,African Civet,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Civettictis,Civettictis civetta,"Rodents, Snakes, Frogs",Pup,Solitary,Secretes up to 4g of musk every week!,Abundant,Habitat loss,Black band around their eyes,,60 - 70 days,Tropical rainforest,Omnivore,3,Nocturnal,African Civet,1.0,across sub-Saharan Africa,Secretes up to 4g of musk every week!,Mammal,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,11 - 12 months,8 - 10 weeks,,,,,,
17,17,httpsa-z-animalscomanimalsafrican clawed frog.html,African Clawed Frog,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,"Small fish, water bugs, insects, spiders, worms",Tadpole,Solitary,African clawed frogs were used as pregnancy testers from the 1930s to the early 1960s.,Abundant,Water pollution,Clawed front toes,Platanna,,Warm stagnant water with grassland,Carnivore,,Nocturnal,African clawed frog,1.0,"Eastern and southern Africa, introduced species to the Americas",,Amphibian,,5 mph,8-15 years,25-220 g (1-8 oz),2.5-12 cm (1-5 in),10-12 months,,,,,,,
18,18,httpsa-z-animalscomanimalsafrican elephant.html,African Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,L. africana,,Calf,Herd,"Both male and female African elephants have tusks. In Asian elephants, only the males have tusks.","415,000",poachers and loss of habitat,prehensile trunk,"African bush elephant, African savannah elephant, African forest elephant",22 months,"savannas, forests",Herbivore,1,"Diurnal</li><li class=""list-item"">Herd</li><li class=""list-item"">terrestrial",Elephant,,Sub-saharan Africa,,herd,Bristled hairs,25 mph,60-70 years,"6,600-13,000 pounds",120-288 inches,120-204 months,6-18 months,"Normally peaceful, but aggressive in mating season, defending young, or when sick, injured, or provoked.",,,,,
19,19,httpsa-z-animalscomanimalsafrican fish eagle.html,African Fish Eagle,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus Vocifer,"Fish, small mammals, amphibians, reptiles, and birds",Eaglets,Pair,African fish eagles belong to the genus of sea eagles,"300,000",Pollution,,,,Large bodies of water in Sub-Saharan Africa,Carnivore,,Diurnal,,,Sub-Saharan Africa,,,Feathers,,12 to 24 years,4.4 to 7.9 pounds,,,,,,,,,
20,20,httpsa-z-animalscomanimalsafrican forest elephant.html,African Forest Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta cyclotis,"Grass, Fruit, Roots",Calf,Herd,The largest known mammal on land!,"200,000",Poaching and habitat loss,"Rounded ears and thin, straight tusks",African Elephant,22 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Forest Elephant,1.0,central and southern Africa,Have large rounded ears to help keep them cool!,Mammal,Leather,24 mph,60 - 70 years,"900kg - 3,000kg (1,984lbs - 6,613lbs)",,11 - 20 years,5 years,,,,,,
21,21,httpsa-z-animalscomanimalsafrican golden cat.html,African Golden Cat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Caracal,Caracal aurata,"Rodent, fish, small antelope, tree hyraxes, monkeys, red duikers, birds",Cubs,Solitary,The first image of an African golden cat was captured in the wild in Gabon in 2002.,10 000,,Small rounded head,,75 to 78 days,Dense forest,Carnivore,"1 to 2 cubs, though 3 have been reported",Nocturnal/Crepuscular,African Golden Cat,1.0,"Angola; Cameroon; Central African Republic; Congo; Congo, The Democratic Republic of the; Côte d'Ivoire; Equatorial Guinea; Gabon; Ghana; Guinea; Liberia; Nigeria; Sierra Leone; Uganda",,,Fur,,12 years,15 to 35 pounds,24 to 40 inches,11 to 18 months,6 months,,,,,,
22,22,httpsa-z-animalscomanimalsafrican grey parrot.html,African Grey Parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacus,Psittacus erithacus,,,,"When a grey parrot named Yosuke got lost, it was reunited with its owner after giving the owner's name and address.","630,00 to 13 million","Habitat destruction, pet trade, pesticides, hunting",,"Congo grey parrot, grey parrot, Congo African grey parrot",,"Lowland forests, mangroves, savannas, gardens",Herbivore,three to five,,African grey parrot,1.0,Central and West Africa,,,,42 mph,"23 years in the wild, up to 60 years in captivity",14.75 to 18.5 ounces,13 inches,,,,,,,,
23,23,httpsa-z-animalscomanimalsafrican jacana.html,African Jacana,Animalia,Chordata,Aves,Charadriformes,Jacanidae,Actophilornis,Actophilornis Africanus,"Insects, crustaceans",Chicks,Social,The males raise the young,one million,habitat loss,Enormous feet and elongated toes,,,Freshwater lakes,Carnivore,,Diurnal,African jacana,2.0,Sub-Saharan Africa,,,Feathers,,5 to 10 years,4 to 12 ounces,9 to 12 inches,,,,,,,,
24,24,httpsa-z-animalscomanimalsafrican palm civet.html,African Palm Civet,Animalia,Chordata,Mammalia,Carnivora,Nandiniidae,Nandinia,Nandinia binotata,"Rodents, Snakes, Frogs",Pup,Solitary,Solitary but gathers in groups!,Locally abundant,Habitat loss,"Snout with sharp, pointed teeth",Two-Spotted Palm Civet,64 days,Tropical rainforest,Omnivore,2,Crepuscular,African Palm Civet,1.0,eastern Africa,Solitary but gathers in groups!,Mammal,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,2 - 3 years,2 months,,,,,,
25,25,httpsa-z-animalscomanimalsafrican penguin.html,African Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus demersus,"Fish, Squid, Crustaceans",Chick,Colony,The only penguin species in Africa!,"140,000",Habitat disruption,Pink glands above their eyes,Jackass Penguin,,Rocky Ocean Islands,Carnivore,,Diurnal,African Penguin,1.0,south-west African coast,The only penguin species in Africa!,Bird,Feathers,12.4 mph,10 - 15 years,2kg - 5kg (4.4lbs - 11lbs),,3 - 4 years,,,,,,,
26,26,httpsa-z-animalscomanimalsafrican sugarcane borer.html,African Sugarcane Borer,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Eldana,Eldana saccharina,Plants in the Poaceae family,larvae,Solitary,"The African sugarcane borer can cause significant damage to sugarcane crops by weakening the stalks, reducing the amount of sugar that can be harvested, and increasing the risk of lodging (stalks breaking and falling over).",Undetermined,Pesticides,Their forewings are brown with two small but distinct darker brown dots in the center of each wing.,African sugarcane stem borer,5-7 days,sugarcane fields,Herbivore,,Nocturnal,Africa sugarcane borer,1.0,"Africa, Western Asia",,eclipse,Exoskeleton,,6 weeks-1 year,less than 1 ounce,0.5 inches,1-3 days post emergence,,docile,,,,,
27,27,httpsa-z-animalscomanimalsafrican tree toad.html,African Tree Toad,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophryne,Nectophryne afra,"Insects, Worms, Snails",,,,,,,,,Tropical lowland forest,Carnivore,,Solitary,,,"Central <a class=""wpil_keyword_link"" href=""/animals/location/africa/"" title=""Africa"" data-wpil-keyword-link=""linked"">Africa</a>",Found in tropical moist lowland forests!,,Permeable,5 mph,3 - 5 years,2g - 5g (0.07oz - 0.18oz),2.5cm - 3.8cm (1in - 1.5in),,,,,,,,
28,28,httpsa-z-animalscomanimalsafrican wild dog.html,African Wild Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon,Lycaon pictus,"Antelope, <a href=""https://a-z-animals.com/animals/warthog/"">Warthog</a>, Rodents",Pup,Pack,Also known as the painted dog!,"Less than 5,000",Habitat loss,Four toes on each foot rather than five,"Hunting Dog, Painted Dog, Painted Wolf",70 days,Open plains and savanna,Carnivore,8,Crepuscular,African Wild Dog,1.0,sub-Saharan Africa,Also known as the painted dog!,Mammal,Fur,45 mph,10 - 13 years,17kg - 36kg (39lbs - 79lbs),75cm - 110cm (29in - 43in),12 - 18 months,3 months,,,,,,
29,29,httpsa-z-animalscomanimalsafricanized bee (killer bee).html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,httpsa-z-animalscomanimalsagama lizard.html,Agama Lizard,Animalia,Chordata,Reptilia,Squamata,Agamidae,Agama,,"Insects, reptiles, small mammals.",Hatchlings,Group,The agama forms small social groups that contain both dominant and subordinate males.,Unknown,Habitat loss,The bright blue or red colors of the dominant male.,Dragon lizards,8-10 weeks,"Forests, deserts, plains, and urban areas",Omnivore,5-7 eggs,,Agama,,Sub-Saharan Africa,,,Scales,,Up to 25 years,About 1kg (2lbs),12-30cm (5-12in),1-2 years,,,,,,,
31,31,httpsa-z-animalscomanimalsagkistrodon contortrix.html,Agkistrodon Contortrix,Animalia,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon,Agkistrodon contortrix,"Insects, rodents, birds, rabbits",Snakes,"Mainly solitary</li><li class=""list-item"">Solitary except during mating season",,,,Hourglass shaped markings and copper-colored head,,80-150 days,"Forests, open woods, rocky crevices",,,or Nocturnal Depending on Region and Season,Eastern copperhead,5.0,,,,Scales,,Up to 29 years,,Two to four feet on average,Three and a half years,,,,,,,
32,32,httpsa-z-animalscomanimalsagouti.html,Agouti,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,,,Pups,"Family units</li><li class=""list-item"">Pair",The agouti is one of the only animals that can crack open Brazil nut pods!,,Hunting by humans for meat and other resources,Hairy rump with almost no visible tail.,,90 to 112 days,Mostly forested areas of various types across different habitats based on each species,Herbivore,1 to 4,"Diurnal</li><li class=""list-item"">Crepuscular</li><li class=""list-item"">Diurnal/Nocturnal",,13.0,"South America, Central America, and far southern Mexico",,,Fur,,Up to 20 years in captivity,4.4 to 11 pounds,Approximately 20 inches,,,,,Agouti,,,agouti
33,33,httpsa-z-animalscomanimalsaidi.html,Aidi,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,The Aidi's cheerful personality and relaxed temperament are just two reasons why this dog is a good choice for families with kids.,,,,"Atlas Mountain Dog, Atlas Shepherd Dog, Berber Dog, Chien de l'Atlas, and Chien de montagne de l'Atlas",,,Omnivore,5-8 puppies,,Aidi,,,,,Hair,,12-15 years,55 lbs,,,,Protective and playful,,Aidi,,,aidi
34,34,httpsa-z-animalscomanimalsainu.html,Ainu,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,Ainu dogs are natural hunters and will protect their owners from bears.,,,,,,,Omnivore,7,,Ainu Dog,,,An innate sense of direction!,Dog,Hair,,,,,,,"Fearless, determined and loyal",Hard,,,,
35,35,httpsa-z-animalscomanimalsairedale terrier.html,Airedale Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,"The Airedale may just be one of the most versatile dogs in the world. The Airedale was originally bred to catch vermin, but it became an all-around sporting dog with a mix of abilities as a pointer, spaniel, retriever, guide dog and police/military dog.",,,,,,,Omnivore,8,,Airedale Terrier,,,"Very intelligent, independent and strong-minded!",Dog,Hair,,,,,,,"Friendly, adaptable and courageous",Fairly Easy,Airedale Terrier,,,airedale terrier
36,36,httpsa-z-animalscomanimalsairedoodle.html,Airedoodle,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,This is a great pooch for rough-housing and one-to-one.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,
37,37,httpsa-z-animalscomanimalsakbash.html,Akbash,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,It has loose neck skin for lessening bites and allowing mobility from predators.,,,,,,,Omnivore,8,,Akbash,,,Often used as a guard dog!,Dog,Hair,,,,,,,"Calm, independent, brave and protective",Hard,Akbash,,,akbash
38,38,httpsa-z-animalscomanimalsakita shepherd.html,Akita Shepherd,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The Akita Shepherd descends from a lineage of working dogs.,,,,,,,Omnivore,,,,,,,,Hair,,10 to 13 years,120 lbs,,,,"Loyal, hard-working, and courageous",,,,,
39,39,httpsa-z-animalscomanimalsakita.html,Akita,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"Although originating from Japan, the Akita has an American equivalent mix",,,,,,,Omnivore,7,,Akita,,,"Very clean, intelligent and loyal!",Dog,Hair,,10 – 15 years,130 lbs,,,,"Intelligent, courageous and fearless",Medium - Hard,,,,
40,40,httpsa-z-animalscomanimalsalabai (central asian shepherd).html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,httpsa-z-animalscomanimalsalaskan husky.html,Alaskan Husky,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The Alaskan Husky is one of the most common sled dogs in the world,,,,,,,Omnivore,,,,,,,,Hair,,12 – 16 years,65 lbs,,,,"Energetic, hard-working, and affectionate",,,,,
42,42,httpsa-z-animalscomanimalsalaskan klee kai.html,Alaskan Klee Kai,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,"Alaskan Klee Kais love to communicate with their families. In addition to barking, they make other vocalizations, such as yodeling and howling.",,,"Contrasting colored facial mask with a well-defined nose bar down the center of the muzzle, and goggles around the eyes",,,,Omnivore,1-5 puppies,,,,,,,Hair,,13-16 years,,,,,,,Alaskan Klee Kai,,,alaskan klee kai
43,43,httpsa-z-animalscomanimalsalaskan malamute.html,Alaskan Malamute,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,,Omnivore,6,,Alaskan Malamute,,,Often used as sled dogs!,Dog,Hair,,,,,,,"Affectionate, friendly and loyal",Medium,Alaskan Malamute,,,alaskan malamute
44,44,httpsa-z-animalscomanimalsalaskan pollock.html,Alaskan Pollock,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,"Crustaceans, other fish",,School,It's one of the most commonly eaten fish in the world,Unknown,,Speckling,"Snow cod, bigeye cod, copperline cod, lesser cod",,,Carnivore,,,"Walleye, walleye pollock, Alaska pollock, pollock",1.0,,,,Scales,,12 years,1-3lbs,1-3ft,,,,,,,,
45,45,httpsa-z-animalscomanimalsalaskan shepherd.html,Alaskan Shepherd,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,This dog’s Malamute ancestors once came to America across the Bering Strait.,,,,,,,Omnivore,,,,,,,,Hair,,9-13years,85 lbs,,,,"Loyal, attentive, and hard-working",,,,,
46,46,httpsa-z-animalscomanimalsalbacore tuna.html,Albacore Tuna,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Thunnus alalunga,,,School,The albacore is a very fast swimmer,More than a million,Overfishing,The long pectoral fin that stretches across the body,Longfin tuna,A few days,Oceans,Carnivore,,,Albacore tuna,1.0,,,,Smooth,50 mph,10 - 12 years,Up to 80lbs,1.2m (4ft),,,,,,,,
47,47,httpsa-z-animalscomanimalsalbatross.html,Albatross,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,,Diomedeidae,"Squid, krill, and fish",Chicks,Colonial Nesting,The largest wingspan of any bird in the world!,Varies by species,Depletion of prey from overfishing,The large size,Mollymawk or gooney bird,A few months,Open seas and oceans,Carnivore,1,,Albatross,,The Southern Hemisphere and North Pacific,,,Feathers,50 mph,Up to 50 years,Up to 22lbs (10kg),Up to 4.4ft (1.2m),5 to 10 years,,,,Albatross,,,albatross
48,48,httpsa-z-animalscomanimalsalbertonectes.html,Albertonectes,Animalia,Chordata,Reptilia,Plesiosauria,Elasmosauridae,Albertonectes,Albertonectes vanderveldei,,,,The Albertonectes had the longest neck out of other Elasmosaurids.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,
49,49,httpsa-z-animalscomanimalsalbino (amelanistic) corn snake.html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,httpsa-z-animalscomanimalsaldabra giant tortoise.html,Aldabra Giant Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone,Geochelone gigantea,"Grasses, Leaves, Flowers",Hatchling,Herd,One got to be 255 years old!,"200,000",Habitat loss,"Large, high-domed shell",Giant Tortoise,,Grasslands and swamps,Herbivore,,Diurnal,Aldabra Giant Tortoise,1.0,Aldabra atoll in the Indian Ocean,One got to be 255 years old!,Reptile,Scales,0.3 mph,80 - 255 years,150kg - 250kg (330lbs - 550lbs),90cm - 120cm (3ft - 4ft),20 - 30 years,,,,,,,
51,51,httpsa-z-animalscomanimalsalligator gar.html,Alligator Gar,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus,Atractosteus spatula,,,Solitary,The alligator gar has toxic eggs to protect against predators,Unknown,Overhunting,Sharp teeth,Garpike,6-8 days,"Rivers, lakes, swamps, bayous, and estuaries",Carnivore,,,Alligator Gar,1.0,,,,Scales,,About 50 years,Up to 350lbs,Up to 3m (10ft),,,,,,,,
52,52,httpsa-z-animalscomanimalsallosaurus.html,Allosaurus,Animalia,Chordata,,,Allosauridae,Allosaurus,Allosaurus fragilis,Other dinosaurs,,,Allosaurus is the official state fossil of Utah because of the abundant number of fossils found in the state.,,"Ceratosaurus, Torvosaurus",Allosaurus had a massive head,,,Semi-arid floodplains with distinct wet and dry seasons.,Carnivore,,,,,North America,,,,,,4600-5700 pounds,28-32 feet,,,,,,,,
53,53,httpsa-z-animalscomanimalsalpaca.html,Alpaca,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,Vicugna pacos,,Cria,Herd,They can spit up to 10 feet.,Least concern,Loss of rangeland,Hypoallergenic fleece,Vicugna,242-345 days,"Farms, temperate high meadow",Herbivore,One,,Alpaca,1.0,"Andes Mountains of Peru, Bolivia, <a href=""https://a-z-animals.com/animals/location/south-america/ecuador/"">Ecuador</a> and Chile",,,Fur,35 mph,15-20 years,48-84 kilograms (106-185 pounds),120-225 centimeters (4-7 feet),Females 18 months; males two to three years,Around six months,,,Alpaca,lama,pacos,alpaca
54,54,httpsa-z-animalscomanimalsalpine dachsbracke.html,Alpine Dachsbracke,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,It’s known as a cold-nose hound because it can pick up a scent on a trail that’s gone cold.,,,,,,,Omnivore,8,,Alpine Dachsbracke,,,Good companion and hard-working breed!,Dog,Hair,,12 years,,,,,"Fearless, friendly and intelligent",Easy,Alpine Dachsbracke,,,alpine dachsbracke
55,55,httpsa-z-animalscomanimalsalpine goat.html,Alpine Goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,,Kids,Herd,"Alpine goats are the most common type of goat used for milk, cheese, and other dairy products",,Habitat reduction,"Tall, slightly curved horns","French Alpine, British Alpine, Rock Alpine",155 days,"Domestic, mountains",Herbivore,1.75,,Alpine goat,,,,,Hair,15 mph,15-18 years,135-175 lbs,,2 years,8 weeks,,,,,,
56,56,httpsa-z-animalscomanimalsalusky.html,Alusky,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"An Alusky loves to dig, so make sure your fence is planted deep in the ground to prevent any escapes!",,,,,,,Omnivore,,,,,,,,Hair,,10-15 years,100 lbs,,,,Energetic and friendly,,,,,
