title;	genus;	species;	name
Arnica montana;	arnica;	montana;	""
Mississippi School for Mathematics and Science;	"";	"";	mississippi school for mathematics and science
Sting (wrestler);	"";	"";	sting
Amy Ray;	"";	"";	amy ray
Emily Saliers;	"";	"";	emily saliers
Portishead (album);	"";	"";	portishead
Jonathan King;	"";	"";	jonathan king
Marion Hutton;	"";	"";	""
Petasites frigidus;	petasites;	frigidus;	""
Petasites hybridus;	petasites;	hybridus;	""
George Gair;	"";	"";	george gair
288 Glauke;	"";	"";	288 glauke
Samsun;	"";	"";	}}
Ockendon railway station;	"";	"";	ockendon
Emerson Park railway station;	"";	"";	emerson park
Atira asteroid;	"";	"";	"tholen-ccc}} other authors adopted the designation \"inner earth objects\" (ieos).<ref name=\"michel-2000\" /> following the general practice to name a new class of asteroids for the first recognized member of that class, which in this case was [[163693 atira]], the designation of \"atira asteroids\" was largely adopted by the scientific community, including by [[nasa]].<ref name=\"ribeiro\">{{cite journal"
Alevism;	"";	"";	alevism
Adalbert, Duke of Lorraine;	"";	"";	adalbert
Gerard, Duke of Lorraine;	"";	"";	gerard i, duke of lorraine
Theodoric II, Duke of Lorraine;	"";	"";	theodoric ii
Simon I, Duke of Lorraine;	"";	"";	simon i
Matthias I, Duke of Lorraine;	"";	"";	matthias
Simon II, Duke of Lorraine;	"";	"";	simon ii
Frederick I, Duke of Lorraine;	"";	"";	frederick i
Theobald I, Duke of Lorraine;	"";	"";	theobald i
Matthias II, Duke of Lorraine;	"";	"";	matthias ii
Frederick III, Duke of Lorraine;	"";	"";	frederick iii
Theobald II, Duke of Lorraine;	"";	"";	theobald ii
Frederick IV, Duke of Lorraine;	"";	"";	frederick iv
Rudolph, Duke of Lorraine;	"";	"";	rudolph
John I, Duke of Lorraine;	"";	"";	john i
Frederick I, Count of Vaudémont;	"";	"";	frederick i, count of vaudémont
Isabella, Duchess of Lorraine;	"";	"";	isabella
Helichrysum arenarium;	helichrysum;	arenarium;	""
John II, Duke of Lorraine;	"";	"";	john ii
René II, Duke of Lorraine;	"";	"";	rené ii
Antoine, Duke of Lorraine;	"";	"";	antoine
Francis I, Duke of Lorraine;	"";	"";	francis i
Charles II, Duke of Lorraine;	"";	"";	"charles ii \"the bold\""
Henry II, Duke of Lorraine;	"";	"";	"henry ii \"the good\""
Francis II, Duke of Lorraine;	"";	"";	francis ii
Charles III, Duke of Lorraine;	"";	"";	charles iii
Nicholas Francis, Duke of Lorraine;	"";	"";	nicholas francis
Charles IV, Duke of Lorraine;	"";	"";	charles iv
Leopold, Duke of Lorraine;	"";	"";	leopold
CDC 7600;	"";	"";	cdc 7600
Freak Out!;	"";	"";	freak out!
Extent File System;	"";	"";	extent file system
